Knoxville-Morristown-Sevierville,TN CSA,1109174,31946,3039,5506,22455
Kokomo-Peru,IN CSA,118418,-1237,514,285,-1982
Lafayette-Opelousas-Morgan City,LA CSA,627146,22362,17639,4696,32
Lafayette-West Lafayette-Frankfort,IN CSA,246972,11955,6758,8434,-3017
Lansing-East Lansing-Owosso,MI CSA,540895,6215,9037,11350,-14158
Las Vegas-Henderson,NV-AZ CSA,2362015,166615,58163,36692,67630
Lexington-Fayette--Richmond--Frankfort,KY CSA,723849,36676,16899,8388,11277
Lima-Van Wert-Celina,OH CSA,219831,-2007,2317,635,-5157
Lincoln-Beatrice,NE CSA,345478,21010,11141,5213,4316
Little Rock-North Little Rock,AR CSA,904469,27312,20104,5855,1212
Longview-Marshall,TX CSA,284527,4514,5711,1782,-2841
Los Angeles-Long Beach,CA CSA,18679763,802438,669322,386555,-246401
Louisville/Jefferson County--Elizabethtown--Madison,KY-IN CSA,1504559,44633,27381,15248,2825
Lubbock-Levelland,TX CSA,334587,20847,10227,2495,7728
Macon-Warner Robins,GA CSA,418245,6347,9148,3270,-6627
Madison-Janesville-Beloit,WI CSA,866475,38731,21025,10363,6384
Manhattan-Junction City,KS CSA,135575,8478,9221,5897,-7016
Mankato-New Ulm-North Mankato,MN CSA,124447,1814,2275,813,-1295
Mansfield-Ashland-Bucyrus,OH CSA,217226,-4172,415,513,-5037
Martin-Union City,TN-KY CSA,70837,-2804,-430,100,-2438
McAllen-Edinburg,TX CSA,906099,70357,69664,11414,-11707
Medford-Grants Pass,OR CSA,297312,11393,-1121,374,11693
Memphis-Forrest City,TN-MS-AR CSA,1370716,17629,40922,9737,-32645
Miami-Fort Lauderdale-Port St. Lucie,FL CSA,6654565,486135,97388,342743,39502
Midland-Odessa,TX CSA,326154,47347,16781,1415,29022
Milwaukee-Racine-Waukesha,WI CSA,2046692,20640,42528,17136,-37806
Minneapolis-St. Paul,MN-WI CSA,3866768,181840,134514,61965,-13435
Mobile-Daphne-Fairhope,AL CSA,619104,23696,8292,4290,10458
Modesto-Merced,CA CSA,806843,36594,34111,9439,-7079
Monroe-Ruston-Bastrop,LA CSA,253407,2191,5248,1696,-4801
Morgantown-Fairmont,WV CSA,195101,8974,2380,2008,4722
Moses Lake-Othello,WA CSA,112513,4665,6193,412,-1671
Mount Pleasant-Alma,MI CSA,112238,-549,976,1095,-2630
Myrtle Beach-Conway,SC-NC CSA,493262,56382,-324,2049,53527
Nashville-Davidson--Murfreesboro,TN CSA,1951644,163204,53404,22670,85431
New Bern-Morehead City,NC CSA,195124,1853,1994,3015,-3569
New Orleans-Metairie-Hammond,LA-MS CSA,1493205,79323,30188,17858,29977
New York-Newark,NY-NJ-CT-PA CSA,23723696,646874,608812,856365,-785968
North Port-Sarasota,FL CSA,977491,80370,-19006,12864,85004
Oklahoma City-Shawnee,OK CSA,1430327,107893,42762,15872,48030
Omaha-Council Bluffs-Fremont,NE-IA CSA,952018,49977,35889,11490,3582
Orlando-Deltona-Daytona Beach,FL CSA,3129308,311190,45140,93342,168956
Paducah-Mayfield,KY-IL CSA,134733,-1148,-247,385,-1271
Parkersburg-Marietta-Vienna,WV-OH CSA,153444,-1007,-630,147,-255
Peoria-Canton,IL CSA,413717,-2538,5457,2395,-10170
Philadelphia-Reading-Camden,PA-NJ-DE-MD CSA,7183479,115467,115389,128992,-124213
Pittsburgh-New Castle-Weirton,PA-OH-WV CSA,2648605,-12166,-20000,19245,-7772
Portland-Lewiston-South Portland,ME CSA,633528,11726,3519,4630,2900
Portland-Vancouver-Salem,OR-WA CSA,3110906,189494,74806,33509,77497
Pueblo-Cañon City,CO CSA,210283,4396,507,674,2997
Pullman-Moscow,WA-ID CSA,86955,4935,2180,2505,246
Quincy-Hannibal,IL-MO CSA,116296,34,643,185,-858
Raleigh-Durham-Chapel Hill,NC CSA,2117103,204486,69494,36298,95052
Rapid City-Spearfish,SD CSA,168961,10255,4747,935,4445
Redding-Red Bluff,CA CSA,242841,2157,935,1429,-541
Reno-Carson City-Fernley,NV CSA,605706,26018,9124,4438,11620
Richmond-Connersville,IN CSA,90435,-2870,-479,-27,-2293
Rochester-Austin,MN CSA,252989,6949,8210,3334,-4782
Rochester-Batavia-Seneca Falls,NY CSA,1175724,752,11949,16559,-27439
Rockford-Freeport-Rochelle,IL CSA,438071,-12568,5750,2171,-20279
Rocky Mount-Wilson-Roanoke Rapids,NC CSA,302665,-7748,642,985,-9558
Rome-Summerville,GA CSA,121426,-906,758,694,-2261
Sacramento-Roseville,CA CSA,2544026,129243,65491,40447,21207
Saginaw-Midland-Bay City,MI CSA,382598,-8971,1716,2148,-12624
St. Louis-St. Charles-Farmington,MO-IL CSA,2916447,23897,47144,23801,-46151
Salt Lake City-Provo-Orem,UT CSA,2467709,196013,160635,26577,9672
San Jose-San Francisco-Oakland,CA CSA,8713914,559989,247715,267100,52019
Savannah-Hinesville-Statesboro,GA CSA,532048,36293,20342,8446,6340
Seattle-Tacoma,WA CSA,4602591,327818,130566,109536,86223
Sioux City-Vermillion,IA-SD-NE CSA,183033,606,5308,1782,-6250
South Bend-Elkhart-Mishawaka,IN-MI CSA,725065,4425,14805,5286,-15184
